game_id,Season,StadiumName,TimeStartGame,TimeEndGame,TZOffset
2000090300,2000,Giants Stadium,9/3/2000 13:00,9/3/2000 16:40,-4
2000090301,2000,Three Rivers Stadium,9/3/2000 13:00,9/3/2000 15:58,-4
2000090302,2000,FedExField,9/3/2000 13:00,9/3/2000 16:04,-4
2000090303,2000,U.S. Bank Stadium,9/3/2000 12:00,9/3/2000 15:08,-5
2000090304,2000,Mercedes-Benz Superdome,9/3/2000 12:00,9/3/2000 15:12,-5
2000090305,2000,Arrowhead Stadium,9/3/2000 12:00,9/3/2000 14:58,-5
2000090306,2000,FirstEnergy Stadium,9/3/2000 13:00,9/3/2000 16:46,-4
2000090307,2000,Lambeau Field,9/3/2000 15:15,9/3/2000 18:30,-5
2000090308,2000,Texas Stadium,9/3/2000 15:05,9/3/2000 18:15,-5
2000090309,2000,Oakland Coliseum,9/3/2000 13:15,9/3/2000 16:19,-7
2000090310,2000,Georgia Dome,9/3/2000 13:00,9/3/2000 16:13,-4
2000090311,2000,Hard Rock Stadium,9/3/2000 16:15,9/3/2000 18:59,-4
2000090312,2000,Foxboro Stadium,9/3/2000 13:00,9/3/2000 16:03,-4
2000090313,2000,New Era Field,9/3/2000 20:20,9/3/2000 23:35,-4
2000090400,2000,The Dome at America's Center,9/4/2000 20:00,9/4/2000 23:00,-5
2000091000,2000,Mile High Stadium,9/10/2000 14:15,9/10/2000 17:27,-6
2000091001,2000,Candlestick Park,9/10/2000 13:15,9/10/2000 16:26,-7
2000091002,2000,Raymond James Stadium,9/10/2000 13:00,9/10/2000 16:00,-4
2000091003,2000,Paul Brown Stadium,9/10/2000 13:00,9/10/2000 16:06,-4
2000091004,2000,New Era Field,9/10/2000 13:00,9/10/2000 16:05,-4
2000091005,2000,M&T Bank Stadium,9/10/2000 13:00,9/10/2000 16:39,-4
2000091006,2000,Nissan Stadium,9/10/2000 12:00,9/10/2000 15:08,-5
2000091007,2000,U.S. Bank Stadium,9/10/2000 12:00,9/10/2000 15:04,-5
2000091008,2000,Qualcomm Stadium,9/10/2000 13:15,9/10/2000 16:32,-7
2000091009,2000,Veterans Stadium,9/10/2000 13:00,9/10/2000 15:59,-4
2000091010,2000,RCA Dome,9/10/2000 12:00,9/10/2000 15:14,-5
2000091011,2000,Husky Stadium,9/10/2000 13:15,9/10/2000 16:15,-7
2000091012,2000,Pontiac Silverdome,9/10/2000 16:15,9/10/2000 19:07,-4
2000091013,2000,Sun Devil Stadium,9/10/2000 17:20,9/10/2000 20:21,-7
2000091100,2000,Giants Stadium,9/11/2000 21:00,9/12/2000 0:09,-4
2000091700,2000,Bank of America Stadium,9/17/2000 13:00,9/17/2000 16:02,-4
2000091701,2000,Giants Stadium,9/17/2000 13:00,9/17/2000 16:13,-4
2000091702,2000,TIAA Bank Field,9/17/2000 13:00,9/17/2000 16:11,-4
2000091703,2000,Oakland Coliseum,9/17/2000 13:05,9/17/2000 16:04,-7
2000091704,2000,Foxboro Stadium,9/17/2000 16:15,9/17/2000 19:15,-4
2000091705,2000,Husky Stadium,9/17/2000 13:15,9/17/2000 16:01,-7
2000091706,2000,Soldier Field,9/17/2000 15:15,9/17/2000 18:13,-5
2000091707,2000,Lambeau Field,9/17/2000 12:00,9/17/2000 15:03,-5
2000091708,2000,FirstEnergy Stadium,9/17/2000 13:00,9/17/2000 16:03,-4
2000091709,2000,Arrowhead Stadium,9/17/2000 16:05,9/17/2000 19:11,-5
2000091710,2000,The Dome at America's Center,9/17/2000 12:00,9/17/2000 15:13,-5
2000091711,2000,Pontiac Silverdome,9/17/2000 13:00,9/17/2000 17:52,-4
2000091712,2000,Hard Rock Stadium,9/17/2000 20:20,9/17/2000 23:16,-4
2000091800,2000,FedExField,9/18/2000 21:00,9/19/2000 0:19,-4
2000092400,2000,M&T Bank Stadium,9/24/2000 13:00,9/24/2000 16:08,-4
2000092401,2000,Oakland Coliseum,9/24/2000 13:15,9/24/2000 16:13,-7
2000092402,2000,Soldier Field,9/24/2000 12:00,9/24/2000 15:04,-5
2000092403,2000,Sun Devil Stadium,9/24/2000 13:05,9/24/2000 16:02,-7
2000092404,2000,Mile High Stadium,9/24/2000 14:15,9/24/2000 17:11,-6
2000092405,2000,Hard Rock Stadium,9/24/2000 13:00,9/24/2000 15:54,-4
2000092406,2000,Raymond James Stadium,9/24/2000 16:15,9/24/2000 19:25,-4
2000092407,2000,Mercedes-Benz Superdome,9/24/2000 12:00,9/24/2000 15:00,-5
2000092408,2000,Georgia Dome,9/24/2000 13:00,9/24/2000 16:10,-4
2000092409,2000,Texas Stadium,9/24/2000 12:00,9/24/2000 15:05,-5
2000092410,2000,Qualcomm Stadium,9/24/2000 13:15,9/24/2000 16:19,-7
2000092411,2000,Three Rivers Stadium,9/24/2000 13:00,9/24/2000 16:21,-4
2000092412,2000,Giants Stadium,9/24/2000 20:20,9/24/2000 23:07,-4
2000092500,2000,RCA Dome,9/25/2000 20:00,9/25/2000 23:32,-5
2000100100,2000,Candlestick Park,10/1/2000 13:15,10/1/2000 16:22,-7
2000100101,2000,FirstEnergy Stadium,10/1/2000 13:00,10/1/2000 15:48,-4
2000100102,2000,Lambeau Field,10/1/2000 15:15,10/1/2000 18:37,-5
2000100103,2000,Bank of America Stadium,10/1/2000 13:00,10/1/2000 15:58,-4
2000100104,2000,New Era Field,10/1/2000 13:00,10/1/2000 15:49,-4
2000100105,2000,Paul Brown Stadium,10/1/2000 16:05,10/1/2000 19:12,-4
2000100106,2000,Pontiac Silverdome,10/1/2000 13:00,10/1/2000 16:15,-4
2000100107,2000,Mile High Stadium,10/1/2000 14:05,10/1/2000 17:10,-6
