game_id,Source,DistanceToStation,TimeMeasure,Temperature,DewPoint,Humidity,Precipitation,WindSpeed,WindDirection,Pressure,EstimatedCondition
2000090300,Meteostat,3.79,9/3/2000 12:00,80.96,73.04,77,0,3.36,200,29.8902,Clear
2000090300,Meteostat,3.79,9/3/2000 13:00,80.96,73.04,77,0,5.84,300,29.8784,Clear
2000090300,Meteostat,3.79,9/3/2000 14:00,82.94,73.04,72,0,5.84,260,29.8696,Clear
2000090300,Meteostat,3.79,9/3/2000 15:00,80.06,74.12,82,0,3.36,180,29.8578,Clear
2000090300,Meteostat,3.79,9/3/2000 16:00,75.02,75.02,100,0.728,4.72,280,29.8519,Heavy Rain
2000090300,Meteostat,3.79,9/3/2000 17:00,75.02,75.02,100,0.161,0,NA,29.843,Moderate Rain
2000090300,Meteostat,3.79,9/3/2000 18:00,75.92,75.02,97,0.012,3.36,170,29.8312,Light Rain
2000090301,Meteostat,2.36,9/3/2000 12:00,73.94,72.14,94,0,8.08,350,29.9641,Clear
2000090301,Meteostat,2.36,9/3/2000 13:00,77,71.78,84,0,4.72,350,29.9523,Clear
2000090301,Meteostat,2.36,9/3/2000 14:00,80.96,73.04,77,0,5.84,10,29.9257,Clear
2000090301,Meteostat,2.36,9/3/2000 15:00,82.04,70.88,69,0,5.84,10,29.908,Clear
2000090301,Meteostat,2.36,9/3/2000 16:00,82.04,72.14,72,0,10.31,320,29.9021,Clear
2000090301,Meteostat,2.36,9/3/2000 17:00,82.94,69.08,63,0,10.31,340,29.8814,Clear
2000090302,Meteostat,6.15,9/3/2000 12:00,78.98,75.2,88,0,8.08,170,29.9198,Clear
2000090302,Meteostat,6.15,9/3/2000 13:00,80.06,75.2,85,0,12.74,170,29.9139,Clear
2000090302,Meteostat,6.15,9/3/2000 14:00,80.06,75.2,85,0,9.2,180,29.8932,Clear
2000090302,Meteostat,6.15,9/3/2000 15:00,80.96,75.02,82,0,8.08,170,29.8755,Clear
2000090302,Meteostat,6.15,9/3/2000 16:00,82.94,73.76,74,0,0,NA,29.8519,Clear
2000090302,Meteostat,6.15,9/3/2000 17:00,82.04,74.12,77,0,0,NA,29.84,Clear
2000090302,Meteostat,6.15,9/3/2000 18:00,75.92,74.12,94,0,12.74,160,29.8548,Clear
